%t0,t1,rS,currentS,errorS,rR,currentR,errorR,rT,currentT,errorT,accX,accY,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,xPos,yPos
70.6500000000023,70.6650000000023,0.8394273956397351,-0.08939999513585459,0.9288273907755897,0,-0.06511985920554683,0.06511985920554683,-3.701032238580442,2.0993198759663207,-5.800352114546763,0.18924684035692793,0.2259012484293238,0.0,1.0,1.0,0.0,0.0,1.0,7.1487590185207175,-0.7193174170967414
70.6650000000023,70.6800000000023,0.8394273956397351,-0.08711193244684842,0.9265393280865836,0,-0.06489401384067864,0.06489401384067864,-3.7026674639498167,2.1000466903884276,-5.802714154338244,-0.2274005688868066,0.2259012484293238,0.0,1.0,1.0,0.0,0.0,1.0,7.147061908938865,-0.7208685637902685
70.6800000000023,70.6950000000023,0.8394273956397351,-0.08476761672048023,0.9241950123602154,0,-0.06462303612640252,0.06462303612640252,-3.7043548823893993,2.100640533784727,-5.804995416174126,-0.2274005688868066,0.2259012484293238,1.0,0.0,1.0,0.0,0.0,1.0,7.145346778851081,-0.7224895431018298
70.6950000000023,70.7100000000023,0.8394273956397351,-0.08237230763226759,0.9217997032720027,0,-0.06435348268623117,0.06435348268623117,-3.7060785879533524,2.100835464103605,-5.806914052056957,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,0.0,1.0,7.143589958436194,-0.7241399208510184
70.7100000000023,70.7250000000023,0.8394273956397351,-0.07993124358894445,0.9193586392286796,0,-0.06413191934486975,0.06413191934486975,-3.7078228696452773,2.1011633654482904,-5.808986235093568,0.18924684035692793,0.2259012484293238,0.0,1.0,1.0,0.0,0.0,1.0,7.141767755329774,-0.7257792682262847
70.7250000000023,70.7400000000023,0.8394273956397351,-0.07743920654788405,0.9168666021876192,0,-0.06391173765387266,0.06391173765387266,-3.7096037584563266,2.101890179870397,-5.8114939383267235,-0.2274005688868066,0.2259012484293238,0.0,1.0,1.0,0.0,0.0,1.0,7.1399039037311995,-0.7274480359781185
70.7400000000023,70.7550000000023,0.8394273956397351,-0.07489099976601317,0.9143183954057483,0,-0.06364631998833321,0.06364631998833321,-3.711437087821839,2.1024840232666966,-5.813921111088535,-0.2274005688868066,0.2259012484293238,1.0,0.0,1.0,0.0,0.0,1.0,7.138022160392939,-0.7291866694499193
70.7550000000023,70.7700000000023,0.8394273956397351,-0.0722917970833142,0.9117191927230494,0,-0.06338223258880546,0.06338223258880546,-3.7133071959583273,2.1026789535855746,-5.815986149543901,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,0.0,1.0,7.136098780994097,-0.7309547781650289
70.7700000000023,70.7850000000023,0.8394273956397351,-0.06964675105405925,0.9090741466937944,0,-0.06316605085781193,0.06316605085781193,-3.7151986329652344,2.1030068549302596,-5.818205487895494,0.18924684035692793,0.2259012484293238,1.0,0.0,1.0,0.0,0.0,1.0,7.134109998680453,-0.7327119770571949
70.7850000000023,70.8000000000023,0.8394273956397351,-0.06695584597238091,0.906383241612116,0,-0.06299775976068182,0.06299775976068182,-3.717111690176344,2.103334756274945,-5.820446446451289,0.18924684035692793,0.2259012484293238,0.0,1.0,1.0,0.0,0.0,1.0,7.132055809878179,-0.7344582875727074
70.8000000000023,70.8150000000023,0.8394273956397351,-0.06421396501303227,0.9036413606527673,0,-0.0628307396284459,0.0628307396284459,-3.719062105454311,2.1040615706970516,-5.823123676151363,-0.2274005688868066,0.2259012484293238,0.0,1.0,0.0,1.0,0.0,1.0,7.129960036565023,-0.7362341088305124
70.8150000000023,70.8300000000023,0.8394273956397351,-0.06145142538866535,0.9008788210284004,0,-0.06261451277813745,0.06261451277813745,-3.7210416908981743,2.1046022105791415,-5.825643901477315,-0.2274005688868066,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.127877188093765,-0.7380617087519319
70.8300000000023,70.8450000000023,0.8394273956397351,-0.05870871647260816,0.8981361121123432,0,-0.062391813883761124,0.062391813883761124,-3.7230112508030935,2.1047616718885473,-5.827772922691641,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.125814096776832,-0.7398826154529384
70.8450000000023,70.8600000000023,0.8394273956397351,-0.055990895584075315,0.8954182912238104,0,-0.06220924679097201,0.06220924679097201,-3.7249554466681993,2.10505410422376,-5.830009550891959,0.18924684035692793,-0.09074431881671924,0.0,1.0,0.0,1.0,0.0,1.0,7.1237469024581745,-0.7416564781236166
70.8600000000023,70.8750000000023,0.8394273956397351,-0.053292929868237804,0.892720325507973,0,-0.06202021975188955,0.06202021975188955,-3.726889527434413,2.105745449636393,-5.832634977070806,-0.2274005688868066,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.121699477640669,-0.74342362323424
70.8750000000023,70.8900000000023,0.8394273956397351,-0.05061480224684322,0.8900421978865783,0,-0.06182474334420356,0.06182474334420356,-3.7288134162666027,2.1059049109457986,-5.834718327212402,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.119671802312627,-0.7451840525416791
70.8900000000023,70.9050000000023,0.8394273956397351,-0.04796151675647625,0.8873889123962113,0,-0.06166942716483734,0.06166942716483734,-3.730711969218242,2.106197343281011,-5.8369093124992535,0.18924684035692793,-0.09074431881671924,0.0,1.0,1.0,0.0,0.0,1.0,7.1176399702029824,-0.7468974425402436
70.9050000000023,70.9200000000023,0.8394273956397351,-0.04529267238480692,0.8847200680245421,0,-0.06151144164601578,0.06151144164601578,-3.7326241911268174,2.106941892207854,-5.839566083334672,-0.2274005688868066,0.2259012484293238,0.0,1.0,0.0,1.0,0.0,1.0,7.115597276592285,-0.7486222881904875
70.9200000000023,70.9350000000023,0.8394273956397351,-0.042603311164785954,0.8820307068045211,0,-0.061304190109722725,0.061304190109722725,-3.734565020576805,2.1074825320899437,-5.842047552666749,-0.2274005688868066,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.113567656908865,-0.7503988750619128
70.9350000000023,70.9500000000023,0.8394273956397351,-0.03993379921235671,0.8793611948520919,0,-0.061090523674945225,0.061090523674945225,-3.736495439273462,2.1076419933993495,-5.844137432672811,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.111557775019214,-0.7521687118338116
70.9500000000023,70.9650000000023,0.8394273956397351,-0.037289059591882154,0.8767164552316172,0,-0.06091706056070486,0.06091706056070486,-3.7384005702996506,2.107934425734562,-5.846334996034212,0.18924684035692793,-0.09074431881671924,0.0,1.0,0.0,1.0,0.0,1.0,7.109543654643113,-0.7538915165884742
70.9650000000023,70.9800000000023,0.8394273956397351,-0.034664193668437156,0.8740915893081723,0,-0.06073719471617016,0.06073719471617016,-3.7402952084062133,2.1086257711471954,-5.848920979553409,-0.2274005688868066,-0.09074431881671924,0.0,1.0,0.0,1.0,0.0,1.0,7.107549284337452,-0.7556075468685067
70.9800000000023,70.9950000000023,0.8394273956397351,-0.03205432348468878,0.8714817191244238,0,-0.060504320655011684,0.060504320655011684,-3.742193923457143,2.109184145534022,-5.851378068991165,-0.2274005688868066,-0.09074431881671924,1.0,0.0,1.0,0.0,0.0,1.0,7.10559866888042,-0.7573570473809866
70.9950000000023,71.01000000000231,0.8394273956397351,-0.02942888040558981,0.8688562760453249,0,-0.06026874667358871,0.06026874667358871,-3.7441060564004527,2.109396810357637,-5.85350286675809,0.18924684035692793,0.2259012484293238,1.0,0.0,0.0,1.0,0.0,1.0,7.1036371990136935,-0.7591180364281519
71.01000000000231,71.02500000000231,0.8394273956397351,-0.026792707448419998,0.8662201030881551,0,-0.06007709973857554,0.06007709973857554,-3.746017097933163,2.109671508188113,-5.8556886061212765,0.18924684035692793,-0.09074431881671924,1.0,0.0,0.0,1.0,0.0,1.0,7.101640829113596,-0.7608502730256751
71.02500000000231,71.04000000000231,0.8394273956397351,-0.024181225179009315,0.8636086208187445,0,-0.05992570631708191,0.05992570631708191,-3.7479029889634004,2.1099639405233255,-5.857866929486725,0.18924684035692793,-0.09074431881671924,0.0,1.0,0.0,1.0,0.0,1.0,7.09964012528367,-0.7625354863048879
